adm1_name,adm2_name,survey_date,survey_month,resp_age,resp_gender,hh_agricactivity,hh_gender,hh_education,hh_wealth_water,hh_wealth_toilet,hh_wealth_light,hh_residencetype,hh_size,hh_maritalstat,hh_age,income_main,income_main_amount,income_main_comp,income_sec,income_sec_amount,income_sec_comp,income_third,income_third_amount,income_third_comp,tot_income,covid_goodstransp,covid_marketclosed,covid_borderclosed,covid_stayhome,covid_gatherings,covid_processclosed,covid_none,shock_noshock,shock_sicknessordeathofhh,shock_lostemplorwork,shock_otherintrahhshock,shock_higherfoodprices,shock_higherfuelprices,shock_cantworkordobusiness,shock_othereconomicshock,shock_pestoutbreak,shock_plantdisease,shock_animaldisease,shock_napasture,shock_othercropandlivests,shock_coldtemporhail,shock_flood,shock_hurricane,shock_drought,shock_othernathazard,shock_violenceinsecconf,shock_theftofprodassets,shock_fire,shock_othermanmadehazard,crp_main,crp_landsize,crp_irrigation,crp_seed_ownprod,crp_seed_market,crp_seed_company,crp_seed_freedist,crp_seed_bank,crp_seed_gov,crp_area_change,crp_harv_change,crp_proddif,crp_proddif_plantdisease,crp_proddif_seedquality,crp_proddif_lostordamaged,crp_proddif_naplot,crp_proddif_nafertilizer,crp_proddif_naseeds,crp_proddif_nainsecticides,crp_proddif_nalabour,crp_proddif_namachinery,crp_proddif_nafuelorelect,crp_proddif_soilerosion,crp_proddif_irrigation,crp_salesdif,crp_saledif_marketing_cost,crp_saledif_damagelosses,crp_saledif_lowdemand,crp_saledif_lowprice,crp_saledif_dif_processing,crp_salesprice,ls_main,ls_num_lastyr,ls_num_now,ls_num_diff,ls_num_nochange,ls_num_inc_didnotsellasmany,ls_num_inc_moreborn,ls_num_inc_purchbarterdmore,ls_num_inc_receivedfree,ls_num_dec_animalsdied,ls_num_dec_soldmoregoodprice,ls_num_dec_soldmoredistsale,ls_num_dec_anmlescloststolen,ls_num_dec_killedorgaveanml,ls_food_supply_openpasture,ls_food_supply_commonpasture,ls_food_supply_fieldselfprodfod,ls_food_supply_purchased,ls_proddif,ls_proddif_diffeedpurchase,ls_proddif_constaccesstopasture,ls_proddif_constaccesstowater,ls_proddif_difaccessvetserv,ls_proddif_difaccessvetinp,ls_proddif_diseases,ls_proddif_theftorinsecurity,ls_proddif_pooraccesstolmarket,ls_proddif_noaccesstocredit,ls_proddif_lackoflabour,ls_salesmain,ls_salesdif,ls_salesdif_smallerprofits,ls_salesdif_damageandlosses,ls_salesdif_lowdemand,ls_salesdif_lowprices,ls_salesdif_slaughterhouse,ls_salesdif_processing,ls_salesprice,need,need_seeds,need_fertilizers,need_pesticides,need_tools,need_accesstoirrigationwater,need_accesstoland,need_animalfeed,need_veterinaryservices,need_veterinaryinputs,need_animalsalemingarantdprice,need_restockinganimals,need_supportforprocessprod,need_supptransofanimalsorprod,need_acstomechanisedequipprod,need_marketingsupport,need_cashassistance,need_loans,need_storageequipmentorfaci,need_techsupporextensionserv,need_landrehabilitation,need_fishequiorothersuppforfish,need_infoonsafetymeasures,shock_count,shock_climate_count,shock_bio_count,shock_economic_count,shock_personal_count,covid_disruption_count,income_source_count,income_primary_share,income_quintile_adm1,ls_pct_change,crp_proddif_count,crp_salesdif_count,needs_expressed_count,chirps_rain_30d_mm,chirps_rain_90d_mm,modis_ndvi_90d_mean,modis_ndvi_90d_std,regional_yield_mean,vulnerability_score,credit_risk
Manicaland,Mutare,2022-04-06,4,32,Female,Yes - livestock production,Male,"Completed higher education (university, college) degree",Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",6.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",600000.0,More,No second most important source of income,,,No third most important source of income,,,600000.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",50.0,50.0,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,5.0,0.0,,,,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.0,LOW
Mashonaland West,Kadoma Urban,2022-04-20,4,57,Female,No,Male,Completed secondary school,Protected well,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",3.0,Married,41 to 65,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",86000.0,Less,No second most important source of income,,,No third most important source of income,,,86000.0,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,1.0,0.0,2.0,1,1.0,4.0,,,,1.0,0.2334159696832322,0.23490150029626866,0.34216149367096754,0.037728859477982865,1.659140539364503,0.2682,HIGH
Manicaland,Mutare,2022-04-14,4,56,Male,Yes - crop production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",9.0,Married,41 to 65,Public employment,250000.0,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,250000.0,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,No,No,No,No,Yes,Same,A lot less (less than half as much),Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,5.0,,2.0,,2.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.067,MEDIUM
Midlands,Kwekwe,2022-04-05,4,46,Male,Yes - crop production,Male,"Completed higher education (university, college) degree",Public tap,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Recent migrant not forcefully displaced - you have been living in your current place of residence for less than two years and you moved there voluntarily for work, family or other reasons that are not related to conflict or natural disaster",7.0,Married,41 to 65,"Farmer, production and sale of vegetable or fruit",30000.0,Less,No second most important source of income,,,No third most important source of income,,,30000.0,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,Yes,More,A lot less (less than half as much),Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,A lot less (less than half as much),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,4.0,1,1.0,3.0,,2.0,1.0,1.0,1.5251071004242505,1.5251071004242505,0.3660597668386733,0.02987848282104446,1.0082494447441954,0.0667,LOW
Manicaland,Nyanga,2022-04-20,4,39,Female,No,Female,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,"Single, never married",18 to 40,Informal agricultural trade excluding producers,3000.0,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,3000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,,,,2.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.3402,HIGH
Midlands,Gweru,2022-04-20,4,38,Male,Yes - crop production,Male,Completed secondary school,Protected well,"None, bush",Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",4000.0,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,4000.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,No,Yes,No,No,No,Less,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,2.0,,1.0,,2.0,0.2834378829331131,0.2834378829331131,0.3327232439012489,0.02170900951952007,1.0082494447441954,0.1334,MEDIUM
Matabeleland North,Hwange Urban,2022-04-24,4,44,Female,Yes - livestock production,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,"Farmer, production and sale of livestock and livestock products",20000.0,Less,No second most important source of income,,,No third most important source of income,,,20000.0,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",50.0,100.0,50.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Swine,Yes,No,No,Yes,Yes,No,No,More,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,0.0,2.0,1,1.0,3.0,1.0,,,2.0,0.44886386941904055,0.44886386941904055,0.339434452117035,0.0258832322561488,0.9032635080148601,0.2,HIGH
Matabeleland North,Victoria Falls,2022-04-24,4,33,Male,No,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Married,18 to 40,Stable employment in non-agricultural sector,40000.0,Same,Public employment,15000.0,Less,Don't know,,,55000.0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,0.0,1.0,2,0.7272727272727273,4.0,,,,1.0,0.44886386941904055,0.44886386941904055,0.339434452117035,0.0258832322561488,0.9032635080148601,0.3402,HIGH
Matabeleland North,Binga,2022-04-05,4,44,Male,Yes - crop production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,41 to 65,"Farmer, production and sale of cashcrops",65000.0,A lot more (increased by more than 50%),No second most important source of income,,,No third most important source of income,,,65000.0,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,Yes,No,No,No,No,No,A lot less (less than half as much),A lot less (less than half as much),Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,5.0,,1.0,2.0,1.0,0.343979614153532,0.343979614153532,0.31520367245290515,0.026317852191821926,0.9032635080148601,0.0667,LOW
Midlands,Zvishavane,2022-04-24,4,53,Male,Yes - both crop and livestock production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",6.0,Married,18 to 40,"Farmer, production and sale of cashcrops",15000.0,Less,No second most important source of income,,,No third most important source of income,,,15000.0,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,Less,Less,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,Less,"Cattle (cow, beef, veal, yak, buffalo)",9.0,6.0,-3.0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,3.0,-0.3333333333333333,2.0,,1.0,0.3446970885811723,0.591050248128763,0.3460313564069956,0.028425350573905207,1.0082494447441954,0.4567,HIGH
